"maxi_challenge_id";"season_id";"episode_number";"category"
1;"17";1;"Talent show"
2;"17";2;"Talent show"
3;"17";3;"Design"
4;"17";4;"Singing"
5;"17";5;"Acting"
6;"17";6;"Ball"
7;"17";7;"Snatch Game"
8;"17";8;"Rusical"
9;"17";9;"Design"
10;"17";10;"Roast"
11;"17";11;"Acting"
12;"17";12;"Stand up"
13;"17";13;"Make over"
14;"17";14;"Advert"
15;"16";1;"Talent show"
16;"16";2;"Talent show"
17;"16";3;"Ball"
18;"16";4;"Acting"
19;"16";5;"Girl group"
20;"16";6;"Design"
21;"16";7;"Rusical"
22;"16";8;"Snatch Game"
23;"16";9;"Design"
24;"16";10;"Rumix"
25;"16";11;"Stand up"
26;"16";12;"Design"
27;"16";13;"Make over"
28;"16";14;"Advert"
29;"01";1;"Design"
30;"01";2;"Girl group"
31;"01";3;"Improv"
32;"01";4;"Advert"
33;"01";5;"Make over"
34;"01";6;"Ball"
35;"02";1;"Design"
36;"02";2;"Choreo"
37;"02";3;"Acting"
38;"02";4;"Snatch Game"
39;"02";5;"Design"
40;"02";6;"Singing"
41;"02";7;"Advert"
42;"02";8;"Make over"
43;"02";9;"Ball"
44;"03";2;"Design"
45;"03";3;"Acting"
46;"03";4;"Advert"
47;"03";5;"Improv"
48;"03";6;"Snatch Game"
49;"03";7;"Design"
50;"03";8;"Stand up"
51;"03";9;"Advert"
52;"03";10;"Singing"
53;"03";11;"Ball"
54;"03";12;"Make over"
55;"03";13;"Ball"
56;"04";1;"Design"
57;"04";2;"Choreo"
58;"04";3;"Advert"
59;"04";4;"Acting"
60;"04";5;"Snatch Game"
61;"04";6;"Design"
62;"04";7;"Advert"
63;"04";8;"Singing"
64;"04";9;"Improv"
65;"04";10;"Make over"
66;"04";11;"Ball"
67;"05";1;"Design"
68;"05";2;"Acting"
69;"05";3;"Improv"
70;"05";4;"Choreo"
71;"05";5;"Snatch Game"
72;"05";6;"Singing"
73;"05";7;"Roast"
74;"05";8;"Advert"
75;"05";9;"Acting"
76;"05";10;"Make over"
77;"05";11;"Ball"
78;"06";1;"Design"
79;"06";2;"Design"
80;"06";3;"Acting"
81;"06";4;"Rusical"
82;"06";5;"Snatch Game"
83;"06";6;"Girl group"
84;"06";7;"Advert"
85;"06";8;"Stand up"
86;"06";9;"Improv"
87;"06";10;"Make over"
88;"06";11;"Ball"
89;"07";1;"Design"
90;"07";2;"Rusical"
91;"07";3;"Acting"
92;"07";4;"Singing"
93;"07";5;"Stand up"
94;"07";6;"Acting"
95;"07";7;"Snatch Game"
96;"07";8;"Make over"
97;"07";9;"Singing"
98;"07";10;"Choreo"
99;"07";11;"Ball"
100;"08";1;"Design"
101;"08";2;"Rusical"
102;"08";3;"Acting"
103;"08";4;"Girl group"
104;"08";5;"Snatch Game"
105;"08";6;"Make over"
106;"08";7;"Advert"
107;"08";8;"Ball"
108;"09";1;"Runway"
109;"09";2;"Choreo"
110;"09";3;"Design"
111;"09";4;"Improv"
112;"09";5;"Rusical"
113;"09";6;"Snatch Game"
114;"09";7;"Acting"
115;"09";8;"Roast"
116;"09";9;"Advert"
117;"09";10;"Make over"
118;"09";11;"Ball"
119;"10";1;"Design"
120;"10";2;"Rusical"
121;"10";3;"Advert"
122;"10";4;"Ball"
123;"10";5;"Improv"
124;"10";6;"Advert"
125;"10";7;"Snatch Game"
126;"10";8;"Rusical"
127;"10";9;"Acting"
128;"10";10;"Make over"
129;"10";11;"Runway"
130;"11";1;"Design"
131;"11";2;"Acting"
132;"11";3;"Improv"
133;"11";4;"Rusical"
134;"11";5;"Ball"
135;"11";6;"Choreo"
136;"11";7;"Design"
137;"11";8;"Snatch Game"
138;"11";9;"Improv"
139;"11";10;"Stand up"
140;"11";11;"Make over"
141;"11";12;"Rumix"
142;"12";1;"Rumix"
143;"12";2;"Rumix"
144;"12";3;"Improv"
145;"12";4;"Ball"
146;"12";5;"Acting"
147;"12";6;"Snatch Game"
148;"12";7;"Rusical"
149;"12";8;"Advert"
150;"12";9;"Improv"
151;"12";10;"Make over"
152;"12";11;"Stand up"
153;"12";12;"Rusical"
154;"13";2;"Rumix"
155;"13";3;"Rumix"
156;"13";4;"Acting"
157;"13";5;"Ball"
158;"13";6;"Choreo"
159;"13";7;"Improv"
160;"13";8;"Rusical"
161;"13";9;"Snatch Game"
162;"13";10;"Make over"
163;"13";11;"Advert"
164;"13";12;"Roast"
165;"13";13;"Acting"
166;"14";1;"Talent show"
167;"14";2;"Talent show"
168;"14";3;"Ball"
169;"14";4;"Acting"
170;"14";5;"Advert"
171;"14";6;"Design"
172;"14";7;"Acting"
173;"14";8;"Girl group"
174;"14";9;"Improv"
175;"14";10;"Snatch Game"
176;"14";11;"Lip sync"
177;"14";12;"Rusical"
178;"14";13;"Roast"
179;"14";14;"Rumix"
180;"15";1;"Talent show"
181;"15";2;"Talent show"
182;"15";3;"Advert"
183;"15";4;"Snatch Game"
184;"15";5;"Design"
185;"15";6;"Girl group"
186;"15";7;"Acting"
187;"15";8;"Lip sync"
188;"15";9;"Ball"
189;"15";10;"Improv"
190;"15";11;"Stand up"
191;"15";12;"Rusical"
192;"15";13;"Make over"
193;"15";14;"Rumix"
