"maxi_challenge_id","contestant_id","role","grade"
1,"103","","Run"
1,"112","","Safe"
1,"123","","Run"
1,"129","","Safe"
1,"152","","Run"
1,"180","","Safe"
1,"200","","Safe"
1,"21","","Run"
1,"214","","Top"
1,"38","","Run"
1,"4","","Run"
1,"56","","Run"
1,"59","","Bottom"
1,"76","","Winner"
2,"103","","Safe"
2,"112","","Run"
2,"123","","Winner"
2,"129","","Run"
2,"152","","Safe"
2,"180","","Run"
2,"200","","Run"
2,"21","","Safe"
2,"214","","Run"
2,"38","","Bottom"
2,"4","","Top"
2,"56","","Safe"
2,"59","","Run"
2,"76","","Run"
3,"103","","Winner"
3,"112","","Bottom"
3,"123","","Safe"
3,"129","","Bottom"
3,"152","","Safe"
3,"180","","Safe"
3,"200","","High"
3,"21","","Low"
3,"214","","Safe"
3,"38","","Safe"
3,"4","","Safe"
3,"56","","High"
3,"59","","Safe"
3,"76","","Safe"
4,"103","","Safe"
4,"112","","Bottom"
4,"123","","Safe"
4,"152","","Safe"
4,"180","","Safe"
4,"200","","Low"
4,"21","","Bottom"
4,"214","","Safe"
4,"38","","Safe"
4,"4","","High"
4,"56","","Winner"
4,"59","","Safe"
4,"76","","High"
5,"103","","Low"
5,"123","","Safe"
5,"152","","Safe"
5,"180","","Bottom"
5,"200","","Bottom"
5,"21","","Safe"
5,"214","","Safe"
5,"38","","High"
5,"4","","Safe"
5,"56","","High"
5,"59","","Safe"
5,"76","","Winner"
6,"103","","High"
6,"123","","Safe"
6,"152","","Bottom"
6,"180","","Safe"
6,"200","","Winner"
6,"21","","Safe"
6,"214","","Safe"
6,"38","","Bottom"
6,"4","","High"
6,"56","","Safe"
6,"59","","Low"
6,"76","","Safe"
7,"103","","High"
7,"123","","High"
7,"152","","Bottom"
7,"180","","Safe"
7,"200","","Low"
7,"21","","Safe"
7,"214","","High"
7,"4","","Bottom"
7,"56","","Winner"
7,"59","","Safe"
7,"76","","Safe"
8,"103","","Winner"
8,"123","","Safe"
8,"152","","Safe"
8,"180","","Safe"
8,"200","","Safe"
8,"21","","Bottom"
8,"214","","High"
8,"56","","High"
8,"59","","Bottom"
8,"76","","High"
9,"103","","Safe"
9,"123","","High"
9,"152","","Safe"
9,"180","","Bottom"
9,"200","","High"
9,"21","","Bottom"
9,"214","","Winner"
9,"56","","Low"
9,"76","","Safe"
10,"103","","High"
10,"123","","Low"
10,"152","","High"
10,"180","","Winner"
10,"200","","Bottom"
10,"214","","Bottom"
10,"56","","Safe"
10,"76","","Safe"
11,"103","","High"
11,"123","","High"
11,"152","","Bottom"
11,"180","","Bottom"
11,"214","","Low"
11,"56","","Winner"
11,"76","","High"
12,"103","","Bottom"
12,"123","","Winner"
12,"152","","Bottom"
12,"214","","Safe"
12,"56","","Winner"
12,"76","","Safe"
13,"103","","Winner"
13,"123","","Low"
13,"214","","Bottom"
13,"56","","Bottom"
13,"76","","High"
14,"103","","Bottom"
14,"123","","High"
14,"214","","Winner"
14,"56","","High"
14,"76","","Bottom"
15,"101","","Safe"
15,"106","","Safe"
15,"132","","Safe"
15,"166","","Safe"
15,"177","","Winner"
15,"28","","Safe"
15,"92","","Top"
16,"110","","Safe"
16,"131","","Safe"
16,"159","","Safe"
16,"211","","Safe"
16,"22","","Winner"
16,"29","","Safe"
16,"33","","Top"
17,"101","","Safe"
17,"106","","Safe"
