"season_id","name","year","cash_prize","network"
"01","RuPaul's Drag Race season 1","2009",25000,"Logo TV"
"02","RuPaul's Drag Race season 2","2010",25000,"Logo TV"
"03","RuPaul's Drag Race season 3","2011",75000,"Logo TV"
"04","RuPaul's Drag Race season 4","2012",100000,"Logo TV"
"05","RuPaul's Drag Race season 5","2013",100000,"Logo TV"
"06","RuPaul's Drag Race season 6","2014",100000,"Logo TV"
"07","RuPaul's Drag Race season 7","2015",100000,"Logo TV"
"08","RuPaul's Drag Race season 8","2016",100000,"Logo TV"
"09","RuPaul's Drag Race season 9","2017",100000,"VH1"
"10","RuPaul's Drag Race season 10","2018",100000,"VH1"
"11","RuPaul's Drag Race season 11","2019",100000,"VH1"
"12","RuPaul's Drag Race season 12","2020",100000,"VH1"
"13","RuPaul's Drag Race season 13","2021",100000,"VH1"
"14","RuPaul's Drag Race season 14","2022",150000,"VH1"
"15","RuPaul's Drag Race season 15","2023",200000,"MTV"
"16","RuPaul's Drag Race season 16","2024",200000,"MTV"
"17","RuPaul's Drag Race season 17","2025",200000,"MTV"
"AS01","RuPaul's Drag Race All Stars season 1","2012",100000,"Logo TV"
"AS02","RuPaul's Drag Race All Stars season 2","2016",100000,"Logo TV"
"AS03","RuPaul's Drag Race All Stars season 3","2018",100000,"VH1"
"AS04","RuPaul's Drag Race All Stars season 4","2018",100000,"VH1"
"AS05","RuPaul's Drag Race All Stars season 5","2020",100000,"VH1"
"AS06","RuPaul's Drag Race All Stars season 6","2021",100000,"Paramount+"
"AS07","RuPaul's Drag Race All Stars: All Winners","2022",200000,"Paramount+"
"AS08","RuPaul's Drag Race All Stars season 8","2023",0,"Paramount+"
"AS09","RuPaul's Drag Race All Stars season 9","2024",0,"Paramount+"
"AS10","RuPaul's Drag Race All Stars season 10","2025",0,"Paramount+"
